,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
328,GP,M,16,U,GT3,T,4,4,services,services,,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5.0,3,2,1,2,5,0,4.25,4.0,4.0
329,GP,M,16,U,GT3,T,2,3,other,other,,father,2,1,0,no,no,no,no,yes,yes,yes,no,5.0,3,3,1,1,3,0,4.25,4.5,4.5
330,GP,M,15,U,GT3,T,2,3,other,services,,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3.0,2,2,1,3,3,2,3.5,4.0,4.0
331,GP,F,15,U,GT3,T,4,2,other,other,,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3,3,1,3,1,4,4.25,4.5,4.5
332,GP,F,18,U,GT3,T,4,4,health,health,,father,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,2.0,4,4,1,1,4,15,3.25,3.0,3.0
333,GP,F,16,U,LE3,T,4,4,teacher,teacher,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,5,2,1,2,3,0,3.25,3.25,3.5
334,GP,F,15,U,GT3,T,2,3,other,other,,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3.0,5,1,1,1,5,0,3.0,2.75,2.5
335,GP,F,16,U,GT3,T,2,2,other,other,,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5.0,1,5,1,1,4,0,2.5,2.75,1.0
336,GP,M,16,U,LE3,T,1,1,services,other,,mother,1,2,1,no,no,no,no,yes,yes,no,yes,4.0,4,4,1,3,5,0,4.5,4.0,4.0
337,MS,F,18,U,GT3,T,3,3,services,services,,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4.0,3,2,1,3,3,0,3.75,3.75,3.5
338,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3.0,1,2,1,1,1,2,2.75,3.5,3.5
339,GP,F,17,U,GT3,A,4,3,services,services,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5.0,2,2,1,2,5,23,4.25,4.25,4.25
340,GP,M,16,U,GT3,T,4,4,teacher,teacher,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4,5,5,5,5,16,3.5,4.0,3.75
341,GP,M,16,R,GT3,T,4,4,teacher,teacher,,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3.0,5,5,2,5,4,8,5.5,5.5,5.5
342,GP,M,17,U,GT3,T,3,3,health,other,,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,3,1,3,5,4,4.5,4.0,3.75
343,GP,M,18,U,LE3,A,4,4,teacher,teacher,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,4,3,1,1,2,9,4.75,4.25,4.75
344,GP,F,19,U,GT3,T,1,1,at_home,health,,other,1,3,2,no,no,no,no,no,yes,yes,yes,4.0,1,2,1,1,3,14,4.75,4.25,4.25
345,GP,M,17,U,GT3,T,4,3,other,other,,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5.0,2,3,1,1,2,4,3.5,3.5,3.75
346,GP,M,16,U,GT3,T,3,2,at_home,other,reputation,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,5.0,3,3,1,3,2,10,3.75,3.25,3.5
347,GP,F,15,U,,T,1,1,at_home,other,,mother,1,2,33,yes,,yes,no,yes,yes,yes,no,,3,2,2,3,3,-1,2.75,3.0,3.5
348,GP,M,17,U,LE3,T,2,3,services,services,,father,1,2,0,no,yes,yes,no,no,yes,yes,no,5.0,3,3,1,3,3,2,4.0,3.75,4.0
349,GP,F,17,R,,T,3,1,services,other,,mother,2,4,0,no,,yes,no,yes,yes,no,no,,1,2,1,1,3,6,5.5,5.5,5.5
350,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,1,5,2,3.75,4.25,4.25
351,GP,F,17,U,,T,4,4,teacher,services,course,mother,1,3,0,no,,yes,yes,yes,yes,yes,no,,4,4,1,3,4,7,3.5,3.25,3.25
352,GP,M,16,U,GT3,T,1,2,services,services,,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,3.0,3,3,1,2,3,2,3.75,4.0,3.75
353,GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,3,no,yes,no,no,no,no,no,no,3.0,4,2,1,1,5,2,2.75,3.0,3.25
354,MS,F,18,R,GT3,T,4,4,teacher,at_home,,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4,3,2,2,5,7,2.5,2.25,2.5
